DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
12/30/2014,531.07,537.57,526.61,537.57,86680
12/31/2014,538.68,546.62,537.91,545.63,122970
1/5/2015,545.43,549.22,543.78,544.45,95950
1/6/2015,539.08,550.11,538.82,549.66,112320
1/7/2015,548.44,555.83,548.44,552.05,111710
1/8/2015,553.49,556.8,552.15,553.47,77870
1/9/2015,555.53,570.52,555.53,569.73,107480
1/12/2015,575.86,579.73,574.07,574.32,134930
1/13/2015,573.26,580.65,573.26,580.6,111670
1/14/2015,579.77,582.21,571.67,577.01,108940
1/15/2015,577.01,581.24,575.36,577.74,120100
1/16/2015,576.88,578.51,574.08,574.81,106680
1/19/2015,576.5,579.06,570.1,571.51,88380
1/20/2015,570.78,574.96,570.14,572.22,79460
1/21/2015,573.54,574.41,569.12,569.12,83040
1/22/2015,569.74,576.48,567.82,574.54,83830
1/23/2015,578.22,583.57,577.57,582.38,184120
1/26/2015,584.89,586.76,580.64,580.64,139910
1/27/2015,580.45,584.28,575.5,579.3,157540
1/28/2015,579.56,584.35,578.59,583.76,113560
1/29/2015,584.18,585.66,580.37,583.28,109680
1/30/2015,584.08,584.08,574.46,576.07,102200
2/2/2015,576.07,579.73,570.37,570.37,85070
2/3/2015,572.56,574.83,557.47,557.47,96960
2/4/2015,556.93,561.69,553.21,561.45,100170
2/5/2015,562.17,568.22,562.05,567.17,78740
2/6/2015,569.03,574.36,569.03,574.13,64280
2/9/2015,574.06,577.04,572.79,573.55,71320
2/10/2015,575.74,578.42,574.24,574.52,73830
2/11/2015,574.88,581.76,574.88,581.76,77500
2/12/2015,582.52,584.99,581.86,584.67,82990
2/13/2015,586.26,589.02,585.6,587.24,73840
2/24/2015,590.18,596.95,589.74,596.95,62890
2/25/2015,596.9,601.55,592.66,592.66,99240
2/26/2015,593.95,597.07,591.78,596.72,89940
2/27/2015,598,598.4,590.58,592.57,78310
3/2/2015,591.75,593.72,588.59,590.73,86660
3/3/2015,590.42,597.45,590.42,596.72,112830
3/4/2015,598.49,600.69,595.34,600.39,120520
3/5/2015,601.08,602.4,596.75,596.91,134360
3/6/2015,596.42,598.33,592.71,593.97,101680
3/9/2015,594.08,596.32,587.27,588.44,98830
3/10/2015,586.38,591.17,586.38,589.66,105170
3/11/2015,589.04,590.56,586.49,586.54,86320
3/12/2015,585.89,589.67,585.48,588.53,82740
3/13/2015,589.04,591.75,586.1,586.1,97280
3/16/2015,583.26,586.19,580.55,580.8,100540
3/17/2015,580.6,583.59,580.6,581.76,105060
3/18/2015,580.81,581.53,577.26,578.68,108040
3/19/2015,579.39,580.32,573.52,573.74,84530
3/20/2015,572.57,577.56,571.92,575.44,151540
3/23/2015,576.64,579.39,570.44,570.89,99550
3/24/2015,569.33,569.91,562.07,567.43,91920
3/25/2015,567.62,568.4,559.87,560.93,87610
3/26/2015,556.12,559.68,553.19,556.16,83830
3/27/2015,558.93,561.13,549.65,551.42,91630
3/30/2015,551.75,554.26,545.07,545.19,108630
3/31/2015,544.87,552.72,544.87,551.13,83620
4/1/2015,550.8,551.69,537.3,538.91,129130
4/2/2015,540.54,546.85,536.87,546.85,89760
4/3/2015,548.69,550.3,544.22,547.85,70710
4/6/2015,548.11,549.28,542.97,542.97,71850
4/7/2015,542.71,548.37,540.79,548.11,96780
4/8/2015,549.69,551.23,546.29,547.72,80150
4/9/2015,547.26,552.53,546.76,550.52,94460
4/10/2015,550.96,557.65,550.96,554.03,104200
4/13/2015,556.35,559.68,555.97,559.54,72140
4/14/2015,559.81,562.95,558.49,558.67,69540
4/15/2015,558.94,565.39,558.94,564.5,82310
4/16/2015,564.5,570.68,564.5,568.28,100520
4/17/2015,568.28,572.76,568.28,568.32,107310
4/20/2015,568.52,568.83,562.66,565.04,98950
4/21/2015,563.78,567.52,562.24,562.24,98590
4/22/2015,562.58,565.04,561.53,562.51,91610
4/23/2015,562.85,564.45,557.57,561.25,76340
4/24/2015,563.17,567.36,561.56,565.77,61680
4/27/2015,567.77,568.47,562.4,562.4,61880
5/4/2015,560.62,563.36,545.08,545.08,112530
5/5/2015,544.8,552.65,539.04,552.65,116970
5/6/2015,553.3,555.51,548.17,549.3,89290
5/7/2015,548.51,554.22,547.53,552.98,70110
5/8/2015,551.57,556.39,550.93,554.51,72950
5/11/2015,554.5,556.2,550.57,551.67,108340
5/12/2015,551.98,552.56,542.7,544.41,79640
5/13/2015,545.5,546.99,538.76,542.82,79430
5/14/2015,542.53,545,540.72,543.69,68000
5/15/2015,543.61,545.48,537.44,537.44,74950
5/18/2015,535.82,536.71,528.9,528.95,105370
5/19/2015,530,537.19,530,536.82,93790
5/20/2015,536.35,550.33,536.07,550.1,128460
5/21/2015,550.99,554,547.95,552.56,112190
5/22/2015,553.41,561.82,550.81,561.82,119600
5/25/2015,560.8,563.84,558.5,563,108200
5/26/2015,563.31,570.29,562.58,567.2,143160
5/27/2015,564.64,569.63,563.28,566.48,115040
5/28/2015,566.13,576.92,564.73,572.97,151800
5/29/2015,572.73,577.03,568.7,569.56,135980
6/1/2015,571.15,579.58,570.14,574.98,118500
6/2/2015,575.7,581.24,570.31,570.31,123890
6/3/2015,570.55,573.91,567.81,567.9,125470
6/4/2015,568.01,573.5,567.89,568.99,113850
6/5/2015,568.63,579.01,568.37,578.07,147670
6/8/2015,580.74,585.51,579.45,579.83,193170
6/9/2015,578.68,582.13,573.73,574.47,162010
6/10/2015,576.06,576.62,569.59,574.1,133530
6/11/2015,577.32,582.68,575.25,581.05,166700
6/12/2015,582.54,585.01,578.8,582.73,163050
6/15/2015,583.51,586.67,581.35,586.48,154920
6/16/2015,587.76,589.33,580.35,580.35,162620
6/17/2015,578.53,584.04,575.88,578.87,131420
6/18/2015,578.73,583.02,578.47,580.35,98180
6/19/2015,584.08,588.48,582.47,584.7,201250
6/22/2015,588.33,594.08,588.01,594.08,154760
6/23/2015,592.44,595.11,590.76,593.07,130760
6/24/2015,592.19,594.01,589.02,590.02,128940
6/25/2015,589.29,590.37,585.34,587.99,114600
6/26/2015,586.04,592.59,581.75,581.75,152470
6/29/2015,580.16,591.75,579.61,591.75,121740
6/30/2015,588.77,598.98,588.77,593.05,156140
7/1/2015,594.52,594.52,587.33,591.5,133320
7/2/2015,591.5,605.7,590.52,605.7,136670
7/3/2015,608.82,617.96,608.82,616.43,164550
7/6/2015,618.75,625.34,618.65,625.22,179750
7/7/2015,623.89,633.73,620.59,630.27,175370
7/8/2015,630.4,634.13,617.29,623.17,191330
7/9/2015,616.2,626.38,613.34,622.1,148190
7/10/2015,627.56,630.79,624.7,627.28,216870
7/13/2015,631.56,637.07,627.69,634.06,140490
7/14/2015,635.55,640.43,628.43,638.69,155030
7/15/2015,640.43,641.06,630.89,630.89,141790
7/16/2015,627.32,632.21,622.57,626.9,132740
7/17/2015,628.45,631.67,626.21,628.63,106880
7/20/2015,624.84,624.84,616.11,620.54,120580
7/21/2015,619.9,624.47,613.83,616.61,100720
7/22/2015,614.56,629.94,613.58,629.85,120810
7/23/2015,632.07,637.91,631.43,632.01,120930
7/24/2015,633.27,634.61,627.99,631.26,111650
7/27/2015,629.68,636.84,629.42,635.46,123980
7/28/2015,636.58,639.54,631.47,631.47,155010
7/29/2015,632,634.64,624.7,624.7,114160
7/30/2015,625.46,627.11,622.43,626.57,102580
7/31/2015,628.31,629.97,621.06,621.06,112600
8/3/2015,617.12,617.12,605.63,609.47,129800
8/4/2015,607.95,609.91,600.76,600.76,83580
8/5/2015,600.68,608.21,600.68,607.08,108570
8/6/2015,607.84,609.31,600.85,601.04,110440
8/7/2015,601.57,604.04,597.75,603.76,87760
8/10/2015,603.82,614.53,603.82,614.53,90730
8/11/2015,615.17,619.69,611.17,613.05,119700
8/12/2015,609.33,611.46,602.01,604.24,112170
8/13/2015,603.31,603.31,590.44,594.26,126470
8/14/2015,592.8,598.55,585.97,589.03,90670
8/17/2015,588.67,591.2,571.26,573.15,108220
8/18/2015,571.31,580.22,571.22,580.22,93870
8/19/2015,576.44,580.99,569.21,577.82,106330
8/20/2015,577.82,577.82,565.09,566.69,113120
8/21/2015,559.34,559.97,542.31,556.3,185890
8/24/2015,550.48,550.48,523.55,526.93,174560
8/25/2015,511.13,535.48,511.13,529.98,177690
8/26/2015,530.05,545.89,530.05,545.89,124140
8/27/2015,551.89,558.93,551.44,555.81,127730
8/28/2015,561.36,570.87,559.35,570.87,165730
